screen,file,from,to,points,3a-buis,3b-filter,3c-sensor,3d-vol,3e-overloop
B24H0156/001,b24h0156-001_H6762_160331122855.MON,2015-12-15 06:00:00+01:00,2016-03-31 11:00:00+01:00,2574,0,0,24,0,0
B24H0156/001,b24h0156-001_160708160105_H6762.MON,2016-03-31 12:00:00+01:00,2016-07-08 15:00:00+01:00,2380,0,0,0,0,0
B24H0156/001,b24h0156-001_161020161037_H6762.MON,2016-07-08 16:00:00+01:00,2016-10-20 15:00:00+01:00,2496,0,0,0,0,0
B24H0156/001,b24h0156-001_170503145559_H6762.MON,2017-01-20 15:00:00+01:00,2017-05-03 14:00:00+01:00,2472,0,0,0,0,0
B24H0156/001,b24h0156-001_170907135218_H6762.MON,2017-05-03 15:00:00+01:00,2017-09-07 13:00:00+01:00,3047,0,0,0,0,0
B24H0156/001,b24h0156-001_180119155646_H6762.MON,2017-09-07 14:00:00+01:00,2018-01-19 15:00:00+01:00,3218,0,0,0,0,0
B24H0668/001,b24h0668-001_160708154402_S2745.MON,2016-03-31 23:00:00+01:00,2016-07-08 14:00:00+01:00,2368,0,0,0,0,0
B24H0668/001,b24h0668-001_161020155608_S2745.MON,2016-07-08 15:00:00+01:00,2016-10-20 14:00:00+01:00,2496,0,0,0,0,0
B24H0668/001,b24h0668-001_170120142408_S2745.MON,2016-10-20 15:00:00+01:00,2017-01-20 14:00:00+01:00,2208,0,0,0,0,0
B24H0668/001,b24h0668-001_170503143714_S2745.MON,2017-01-20 15:00:00+01:00,2017-05-03 14:00:00+01:00,2472,0,0,0,0,0
B24H0668/001,b24h0668-001_170907133018_S2745.MON,2017-05-03 15:00:00+01:00,2017-09-07 13:00:00+01:00,3047,0,0,0,0,0
B24H0668/001,b24h0668-001_180119153654_S2745.MON,2017-09-07 14:00:00+01:00,2018-01-19 15:00:00+01:00,3218,0,0,0,0,0
B24H0668/003,b24h0668-003_170120142625_H6711.MON,2016-10-20 15:00:00+01:00,2017-01-20 14:00:00+01:00,2208,0,0,0,0,0
B24H0668/003,b24h0668-003_170503143851_H6711.MON,2017-01-20 15:00:00+01:00,2017-05-03 14:00:00+01:00,2472,0,0,0,0,0
B24H0668/003,b24h0668-003_170907133142_H6711.MON,2017-05-03 15:00:00+01:00,2017-09-07 13:00:00+01:00,3047,0,0,394,0,0
B24H0783/001,b24h0783-001_160708152155_D9090.MON,2016-03-31 23:00:00+01:00,2016-07-08 14:00:00+01:00,2368,0,0,0,0,0
B24H0783/001,b24h0783-001_161020153558_D9090.MON,2016-07-08 15:00:00+01:00,2016-10-20 14:00:00+01:00,2496,0,0,0,0,0
B24H0783/001,b24h0783-001_170120140443_D9090.MON,2016-10-20 15:00:00+01:00,2017-01-20 14:00:00+01:00,2208,0,0,0,0,0
B24H0783/001,b24h0783-001_170503141311_D9090.MON,2017-01-20 15:00:00+01:00,2017-05-03 14:00:00+01:00,2472,0,0,0,0,0
B24H0783/001,b24h0783-001_170907130813_D9090.MON,2017-05-03 15:00:00+01:00,2017-09-07 13:00:00+01:00,3047,0,0,0,0,0
B24H0783/001,b24h0783-001_180119151315_D9090.MON,2017-09-07 14:00:00+01:00,2018-01-19 15:00:00+01:00,3218,0,0,0,0,0
B30D0068/001,b30d0068-001_M0491_160329164905.MON,2015-12-15 06:00:00+01:00,2016-03-29 15:00:00+01:00,2530,0,0,6,0,0
B30D0068/001,b30d0068-001_160707152439_M0491.MON,2016-03-29 16:00:00+01:00,2016-07-07 14:00:00+01:00,2399,0,0,0,0,0
B30D0068/001,b30d0068-001_161019175332_M0491.MON,2016-07-07 15:00:00+01:00,2016-10-19 16:00:00+01:00,2498,0,0,0,0,0
B30D0068/001,b30d0068-001_170118103449_M0491.MON,2016-10-19 17:00:00+01:00,2017-01-18 10:00:00+01:00,2178,0,0,0,0,0
B30D0068/001,b30d0068-001_170502103922_M0491.MON,2017-01-18 11:00:00+01:00,2017-05-02 10:00:00+01:00,2496,0,0,0,0,0
B30D0068/001,b30d0068-001_170906094339_M0491.MON,2017-05-02 11:00:00+01:00,2017-09-06 09:00:00+01:00,3047,0,0,0,0,0
B30D0273/001,b30d0273-001_D9074_160323124933.MON,2015-12-15 06:00:00+01:00,2016-03-23 12:00:00+01:00,2383,0,0,0,0,0
B30D0273/001,b30d0273-001_160706134208_D9074.MON,2016-03-23 13:00:00+01:00,2016-07-06 12:00:00+01:00,2520,0,0,0,0,0
B30D0273/001,b30d0273-001_161018124632_D9074.MON,2016-07-06 13:00:00+01:00,2016-10-18 11:00:00+01:00,2495,0,0,0,0,0
B30D0273/001,b30d0273-001_170118143615_D9074.MON,2016-10-18 12:00:00+01:00,2017-01-18 14:00:00+01:00,2211,0,0,0,0,0
B30D0273/001,b30d0273-001_170508111750_D9074.MON,2017-01-18 15:00:00+01:00,2017-05-08 11:00:00+01:00,2637,0,0,0,0,0
B30D0273/001,b30d0273-001_170905170510_D9074.MON,2017-05-08 12:00:00+01:00,2017-09-05 16:00:00+01:00,2885,0,0,0,0,0
B30D0273/001,b30d0273-001_180116171236_D9074.MON,2017-09-05 17:00:00+01:00,2018-01-16 17:00:00+01:00,3193,0,0,0,0,0
B30D0274/001,b30d0274-001_P5964_160324130854.MON,2015-12-15 06:00:00+01:00,
