name, nitg, filter, code, refpnt, top, bottom, logger, refpnt, depth, baro, file, begin, end, days, points
24HP0156,B24H0156,1,B24H0156/001,1.142,27.75,28.75,H6762,1.142,5.03,"Meteostation Schiphol  - P","b24h0156-001_H6762_160331122855.MON",15-12-2015 05:00,31-03-2016 10:00,107,2574
24HP0156,B24H0156,1,B24H0156/001,1.142,27.75,28.75,H6762,1.142,5.04,"Meteostation Schiphol  - P","b24h0156-001_160708160105_H6762.MON",31-03-2016 11:00,08-07-2016 14:00,99,2380
24HP0156,B24H0156,1,B24H0156/001,1.142,27.75,28.75,H6762,1.142,5.04,"Meteostation Schiphol  - P","b24h0156-001_161020161037_H6762.MON",08-07-2016 15:00,20-10-2016 14:00,103,2496
24HP0156,B24H0156,1,B24H0156/001,1.142,27.75,28.75,H6762,1.142,5.04,"Meteostation Schiphol  - P","b24h0156-001_170120144508_H6762.MON",20-10-2016 15:00,20-01-2017 13:00,91,2207
24HP0668,B24H0668,1,B24H0668/001,1.052,3.03,5.03,H6647,1.052,4.45,"Meteostation Valkenburg  - P","b24h0668-001_H6647_160331113854.MON",15-12-2015 05:00,31-03-2016 09:00,107,2573
24HP0668,B24H0668,1,B24H0668/001,1.052,3.03,5.03,H6647,1.052,4.45,"Meteostation Valkenburg  - P","b24h0668-001_H6647_160331114103.MON",15-12-2015 05:00,31-03-2016 09:00,107,2573
24HP0668,B24H0668,1,B24H0668/001,1.052,3.03,5.03,H6647,1.052,4.45,"Meteostation Valkenburg  - P","H6647_b24h0668-001.MON",15-12-2015 05:00,31-03-2016 09:00,107,2573
24HP0668,B24H0668,1,B24H0668/001,1.052,3.03,5.03,S2745,1.052,4.6,"Meteostation Valkenburg  - P","b24h0668-001_160708154402_S2745.MON",31-03-2016 22:00,08-07-2016 13:00,98,2368
24HP0668,B24H0668,1,B24H0668/001,1.052,3.03,5.03,S2745,1.052,4.6,"Meteostation Valkenburg  - P","b24h0668-001_161020155608_S2745.MON",08-07-2016 14:00,20-10-2016 13:00,103,2496
24HP0668,B24H0668,1,B24H0668/001,1.052,3.03,5.03,S2745,1.052,4.6,"Meteostation Valkenburg  - P","b24h0668-001_170120142408_S2745.MON",20-10-2016 14:00,20-01-2017 13:00,91,2208
